,SPRADDR_ZIP_PR
96822,256
96816,242
96789,216
96826,204
96817,203
96818,195
96744,192
96797,185
96706,184
96825,172
96819,172
96707,162
96701,156
96815,153
96782,150
96813,137
96734,131
96814,128
96821,123
96792,115
96786,107
96740,96
96720,95
96793,93
96753,83
96732,80
96766,68
96761,68
96799,62
96795,61
96717,58
96746,57
96768,55
96790,55
96828,55
96749,54
96743,51
96950,51
96708,50
96712,50
96791,49
96762,44
96731,44
96741,42
96823,42
96750,41
90503,40
96738,40
95758,40
96727,40
96921,39
96778,38
95831,38
96839,38
96820,37
96752,36
96796,36
94066,35
96754,35
96763,35
96756,34
96830,34
96748,33
96716,33
96733,32
96755,32
94080,31
94513,31
95051,29
90274,29
92886,29
91709,29
92592,29
96721,29
90501,29
95757,29
96730,28
96929,28
96705,28
96771,27
90504,27
96779,27
90278,27
95123,26
90630,26
96760,26
90505,26
96765,26
95124,26
93003,25
94501,25
96725,25
95762,25
94404,25
96704,25
94536,25
96745,25
94112,25
92620,24
96913,24
94087,24
93030,24
94582,24
90703,24
93117,24
91710,24
94010,24
92626,24
90275,24
92563,23
92656,23
92692,23
94523,23
98029,23
96783,23
92679,23
96772,23
94583,23
92694,22
96824,22
94116,22
92064,22
95014,22
95630,22
92131,22
94110,22
92649,22
94551,22
92677,22
92688,22
95035,22
96788,21
94568,21
95765,21
94403,21
94121,21
91902,21
95120,21
95037,21
94002,21
94588,20
98042,20
93012,20
95476,20
94530,20
90277,20
90745,20
92130,20
92126,20
94061,20
90808,20
92870,19
92646,19
93063,19
91789,19
98040,19
98110,19
93311,19
95023,19
94015,19
91711,19
94044,19
94941,19
91701,19
92127,19
92648,19
92508,19
96848,19
95008,19
96960,19
93551,19
94546,18
95688,18
95125,18
94610,18
80439,18
93035,18
92057,18
98607,18
92630,18
96931,18
91730,18
94558,18
92109,18
91016,18
95060,18
91350,18
94303,18
96781,18
94025,18
98026,18
90247,17
94040,17
96714,17
96785,17
91360,17
95126,17
96722,17
95219,17
95132,17
94065,17
93036,17
96932,17
94030,17
91321,17
94534,17
94539,17
98034,17
94401,17
92647,17
91306,17
95020,17
93940,17
94507,17
90710,17
95616,17
91344,16
89123,16
92506,16
90604,16
96915,16
95624,16
94930,16
99516,16
92879,16
95746,16
93065,16
94531,16
98006,16
95003,16
92203,16
91910,16
94559,16
95066,16
97501,16
94577,16
90266,16
92562,16
94122,16
92869,16
93536,16
90405,16
92833,16
92804,16
94549,16
98166,16
94611,16
94803,16
90815,15
98109,15
98144,15
95062,15
91030,15
80241,15
91325,15
91915,15
94553,15
94526,15
92673,15
98011,15
92008,15
80516,15
91367,15
95818,15
94925,15
92234,15
93105,15
92129,15
94550,15
90631,15
94565,15
98008,15
92503,15
92154,15
94510,15
95404,15
94619,15
94954,15
92629,15
94134,15
96837,14
90732,14
95376,14
96737,14
91107,14
80123,14
91362,14
94591,14
95148,14
91773,14
97007,14
94598,14
98059,14
96940,14
95377,14
94502,14
95209,14
93021,14
92107,14
91977,14
94947,14
93004,14
92591,14
91913,14
94563,14
92024,14
95206,14
94024,14
91387,14
92054,14
98258,14
94560,14
95076,13
91354,13
98072,13
90007,13
95030,13
92104,13
91006,13
92705,13
92009,13
96804,13
98312,13
94903,13
92887,13
91384,13
92307,13
91361,13
92627,13
92111,13
94556,13
91351,13
92504,13
94552,13
80220,13
98038,13
95128,13
92831,13
91024,13
91754,13
91331,13
94062,13
96757,13
90803,13
80016,13
98391,13
95111,13
92672,13
96713,13
96729,13
91745,13
92336,13
97702,13
98118,13
90066,13
94117,13
94901,13
90403,13
96703,13
91765,13
94505,13
90250,13
92708,13
92821,12
92880,12
95687,12
95661,12
92612,12
95683,12
96719,12
93033,12
91301,12
98092,12
91702,12
93950,12
98027,12
92780,12
92120,12
94544,12
90706,12
99301,12
92835,12
97304,12
97034,12
99577,12
96776,12
95032,12
98683,12
98003,12
92691,12
83709,12
92028,12
91208,12
91343,12
92128,12
92584,12
91304,12
95492,12
92021,12
95628,12
94517,12
94506,12
93015,12
95050,12
87544,12
98199,12
92651,12
92660,12
91326,12
90026,12
80503,12
80228,12
94566,12
92604,12
85718,12
96777,12
90650,12
99504,12
93720,12
97062,12
98052,12
11377,12
94115,11
